127.0.0.1 - - [18/Mar/2018:22:06:39 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:06:50 +0800] "GET /yklgbbs/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:06:51 +0800] "GET /yklgbbs/goIndex/all;jsessionid=52D213543518EEECD8D67A076EA8794B HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:06:51 +0800] "GET /yklgbbs/res/layui/css/layui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:06:51 +0800] "GET /yklgbbs/res/images/avatar/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:06:51 +0800] "GET /yklgbbs/res/css/global.css HTTP/1.1" 200 26986
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:06:51 +0800] "GET /yklgbbs/res/js/template-web.js HTTP/1.1" 200 16570
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:06:52 +0800] "GET /yklgbbs/goIndex/all HTTP/1.1" 200 46045
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:06:52 +0800] "GET /yklgbbs/res/images/avatar/6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:06:52 +0800] "GET /yklgbbs/res/images/avatar/4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:06:52 +0800] "GET /yklgbbs/res/images/avatar/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:06:52 +0800] "GET /yklgbbs/res/images/avatar/0.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:06:52 +0800] "GET /yklgbbs/res/images/avatar/7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:06:52 +0800] "GET /yklgbbs/res/images/avatar/8.jpg HTTP/1.1" 200 6573
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:06:52 +0800] "GET /yklgbbs/res/images/avatar/5.jpg HTTP/1.1" 200 5826
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:06:52 +0800] "GET /yklgbbs/res/layui/layui.js HTTP/1.1" 200 5465
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:06:52 +0800] "GET /yklgbbs/res/css/iconfont.eot?t=1477416582 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:06:52 +0800] "GET /yklgbbs/res/images/logo2.png HTTP/1.1" 200 4327
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:06:52 +0800] "GET /yklgbbs/res/mods/index.js?v=2.0.0 HTTP/1.1" 200 14144
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:06:52 +0800] "GET /yklgbbs/res/layui/lay/modules/layer.js?v=2.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:06:52 +0800] "GET /yklgbbs/res/layui/css/modules/layer/default/layer.css?v=3.0.3303 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:06:52 +0800] "GET /yklgbbs/res/layui/lay/modules/jquery.js?v=2.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:06:52 +0800] "GET /yklgbbs/res/layui/lay/modules/laytpl.js?v=2.0.0 HTTP/1.1" 200 1645
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:06:52 +0800] "GET /yklgbbs/res/layui/lay/modules/form.js?v=2.0.0 HTTP/1.1" 200 6930
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:06:52 +0800] "GET /yklgbbs/res/layui/lay/modules/upload.js?v=2.0.0 HTTP/1.1" 200 2390
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:06:52 +0800] "GET /yklgbbs/res/layui/lay/modules/util.js?v=2.0.0 HTTP/1.1" 200 1089
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:06:52 +0800] "GET /yklgbbs/res/mods/face.js?v=2.0.0 HTTP/1.1" 200 6363
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:06:52 +0800] "GET /yklgbbs/res/layui/font/iconfont.eot?v=1.0.9 HTTP/1.1" 200 53074
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:06:59 +0800] "GET /yklgbbs/goIndex/all HTTP/1.1" 200 46045
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:06:59 +0800] "GET /yklgbbs/res/layui/css/layui.css HTTP/1.1" 200 31424
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:06:59 +0800] "GET /yklgbbs/res/css/global.css HTTP/1.1" 200 26986
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:06:59 +0800] "GET /yklgbbs/res/js/template-web.js HTTP/1.1" 200 16570
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:07:00 +0800] "GET /yklgbbs/res/layui/layui.js HTTP/1.1" 200 5465
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:07:00 +0800] "GET /yklgbbs/res/images/avatar/4.jpg HTTP/1.1" 200 6404
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:07:00 +0800] "GET /yklgbbs/res/images/avatar/1.jpg HTTP/1.1" 200 5504
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:07:00 +0800] "GET /yklgbbs/res/images/avatar/0.jpg HTTP/1.1" 200 4989
0:0:0:0:0:0:0:1 - - [18/Mar/2018:22:07:00 +0800] "GET /yklgbbs/res/images/avatar/6.jpg HTTP/1.1" 200 9811
